日期,城市,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
2020-01-10,武汉,41,2,1,41,2,1
2020-01-11,武汉,0,4,0,41,6,1
2020-01-12,武汉,0,1,0,41,7,1
2020-01-15,武汉,0,5,1,41,12,2
2020-01-16,武汉,4,3,0,45,15,2
2020-01-17,武汉,17,4,0,62,19,2
2020-01-18,武汉,59,5,1,121,24,3
2020-01-19,大兴区,2,0,0,2,0,0
2020-01-19,深圳,1,0,0,1,0,0
2020-01-19,武汉,77,1,1,198,25,4
2020-01-20,昌平区,2,0,0,2,0,0
2020-01-20,杭州,1,0,0,1,0,0
2020-01-20,黄冈,12,0,0,12,0,0
2020-01-20,惠州,1,0,0,1,0,0
2020-01-20,深圳,8,0,0,9,0,0
2020-01-20,台州,1,0,0,1,0,0
2020-01-20,外地来沪,1,0,0,1,0,0
2020-01-20,外地来京,1,0,0,1,0,0
2020-01-20,温州,2,0,0,2,0,0
2020-01-20,武汉,60,0,2,258,25,6
2020-01-20,湛江,1,0,0,1,0,0
2020-01-20,舟山,1,0,0,1,0,0
2020-01-20,珠海,3,0,0,3,0,0
2020-01-21,成都,1,0,0,1,0,0
2020-01-21,垫江县,1,0,0,1,0,0
2020-01-21,丰台区,1,0,0,1,0,0
2020-01-21,佛山,1,0,0,1,0,0
2020-01-21,抚州,1,0,0,1,0,0
2020-01-21,广安,1,0,0,1,0,0
2020-01-21,广州,2,0,0,2,0,0
2020-01-21,海淀区,2,0,0,2,0,0
2020-01-21,合肥,1,0,0,1,0,0
2020-01-21,河东区,1,0,0,1,0,0
2020-01-21,昆明,1,0,0,1,0,0
2020-01-21,宁波,3,0,0,3,0,0
2020-01-21,萍乡,1,0,0,1,0,0
2020-01-21,青岛,1,0,0,1,0,0
2020-01-21,韶关,2,0,0,2,0,0
2020-01-21,深圳,5,0,0,14,0,0
2020-01-21,台湾,1,0,0,1,0,0
2020-01-21,通州区,1,0,0,1,0,0
2020-01-21,万州区,2,0,0,2,0,0
2020-01-21,威海,1,0,0,1,0,0
2020-01-21,温州,2,0,0,4,0,0
2020-01-21,巫山县,2,0,0,2,0,0
2020-01-21,武汉,105,3,3,363,28,9
2020-01-21,西城区,1,0,0,1,0,0
2020-01-21,西青区,1,0,0,1,0,0
2020-01-21,银川,1,0,0,1,0,0
2020-01-21,湛江,1,0,0,2,0,0
2020-01-21,长沙,1,0,0,1,0,0
2020-01-21,长寿区,1,0,0,1,0,0
2020-01-21,郑州,1,0,0,1,0,0
2020-01-21,珠海,1,0,0,4,0,0
2020-01-22,澳门,1,0,0,1,0,0
2020-01-22,白银,1,0,0,1,0,0
2020-01-22,北海,3,0,0,3,0,0
2020-01-22,亳州,1,0,0,1,0,0
2020-01-22,朝阳区,1,0,0,1,0,0
2020-01-22,郴州,1,0,0,1,0,0
2020-01-22,成都,3,0,0,4,0,0
