,日期,城市,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
0,2020-01-10,武汉,41,2,1,41,2,1
4045,2020-02-10,武汉,1552,162,67,18454,1173,748
8532,2020-03-10,武汉,13,1202,19,49978,33264,2423
9407,2020-04-10,武汉,0,27,2,50008,46154,2577
9851,2020-05-10,武汉,5,0,0,50339,46464,3869
492,2020-01-25,武汉,46,8,7,618,40,45
6931,2020-02-25,武汉,370,1456,42,47441,12026,2085
9088,2020-03-25,武汉,0,317,5,50006,44020,2531
9662,2020-04-25,武汉,0,11,0,50333,46452,3869
4013,2020-02-10,深圳,7,10,0,375,56,0
8520,2020-03-10,深圳,0,6,0,417,387,3
469,2020-01-25,深圳,7,0,0,27,2,0
6909,2020-02-25,深圳,0,13,0,417,262,3
3886,2020-02-10,保定,4,1,0,30,9,0
370,2020-01-25,保定,2,0,0,3,0,0
10202,2020-06-25,保定,0,1,0,45,33,0
